"region","2014","2015","2016","2017","2018","2019","2020","2021"
"Fraser Summer 4.1",27,29,22,19,25,44,36,38
"US",22,22,32,33,35,19,22,17
"SWVI",17,32,26,18,22,30,30,30
"Fraser Summer 5.2",13,2,1,1,2,1,0,2
"Fraser Fall",6,1,1,1,1,1,0,1
"Fraser Spring 5.2",6,2,0,2,2,NA,0,0
NA,4,4,13,22,11,4,4,10
"NWVI",2,8,3,1,1,NA,1,0
"ECVI Fall",1,1,2,2,1,1,3,1
"Fraser Spring 4.2",1,NA,NA,0,NA,NA,0,NA
"NEVI",NA,NA,NA,NA,0,NA,1,NA
"NANAIMO_RIVER_fall (Stock Rollup Not Found)",NA,NA,NA,NA,NA,NA,0,NA
"S Mainland Inlets",NA,NA,NA,NA,NA,NA,NA,0
